,title,price,link
10,"Acer Aspire Lite, AMD Ryzen 3 7330U Processor, 8 GB RAM, 512 GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.6KG, AL15-41, Metal Body, Premium Thin and Light Laptop","26,990",https://amazon.in//Acer-Smartchoice-Premium-Windows-AL15-41/dp/B0CWTSF1TK/ref=sr_1_14?crid=2QJUXBH5B3J1V&dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ&dib_tag=se&keywords=laptop&qid=1754578193&sprefix=laptop%2Caps%2C348&sr=8-14&xpid=pSgy7HC4v6kp5
11,"Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg), 82UY0014HA","13,990",https://amazon.in//Lenovo-SmartChoice-Chromebook-Speakers-82UY0014HA/dp/B0F2TMZJ24/ref=sr_1_15?crid=2QJUXBH5B3J1V&dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ&dib_tag=se&keywords=laptop&qid=1754578193&sprefix=laptop%2Caps%2C348&sr=8-15&xpid=pSgy7HC4v6kp5
12,"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop","29,990",https://amazon.in//HP-Laptop-15-6-inch-Graphics-fc0154AU/dp/B0D3HG5CMG/ref=sr_1_3?crid=2QJUXBH5B3J1V&dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ&dib_tag=se&keywords=laptop&qid=1754578193&sprefix=laptop%2Caps%2C348&sr=8-3&xpid=pSgy7HC4v6kp5
13,"Acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","20,990",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PTFFZH/ref=sr_1_16?crid=2QJUXBH5B3J1V&dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ&dib_tag=se&keywords=laptop&qid=1754578193&sprefix=laptop%2Caps%2C348&sr=8-16&xpid=pSgy7HC4v6kp5
14,"Acer Aspire Lite, AMD Ryzen 7 7730U Processor, 16 GB RAM, 512 GB SSD, Full HD IPS, 15.6""/39.62 cm, Windows 11 Home, MSO, Steel Gray, 1.59 kg, AL15-41, Thin and Light Laptop","40,990",https://amazon.in//Aspire-Processor-Windows-AL15-41-Laptop/dp/B0FCXZ85YX/ref=sr_1_17?crid=2QJUXBH5B3J1V&dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ&dib_tag=se&keywords=laptop&qid=1754578193&sprefix=laptop%2Caps%2C348&sr=8-17&xpid=pSgy7HC4v6kp5
15,"Dell Inspiron 3535, AMD Ryzen 5-7530U, 16 GB RAM, 512 GB SSD, FHD IPS 15.6""/39.62 cm, 120Hz, Windows 11, MS Office 2024, Platinum Silver, 1.67 kg, Thin & Light Laptop","38,990",https://amazon.in//Dell-Inspiron-5-7530U-Windows-Platinum/dp/B0DSFRQTGB/ref=sr_1_18?crid=2QJUXBH5B3J1V&dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ&dib_tag=se&keywords=laptop&qid=1754578193&sprefix=laptop%2Caps%2C348&sr=8-18&xpid=pSgy7HC4v6kp5
16,"HP Omen, 14th Gen Intel Core i7-14650HX, 8GB RTX 5050 (24GB DDR5, 1TB SSD) WUXGA, 2k, 165Hz, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.43kg, am0241TX, RGB Backlit, Gaming Laptop","1,29,990",https://amazon.in//HP-i7-14650HX-Office24-am0241TX-Backlit/dp/B0FDKRKC92/ref=sr_1_19?crid=2QJUXBH5B3J1V&dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ&dib_tag=se&keywords=laptop&qid=1754578193&sprefix=laptop%2Caps%2C348&sr=8-19&xpid=pSgy7HC4v6kp5
17,"Acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","22,990",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_20?crid=2QJUXBH5B3J1V&dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ&dib_tag=se&keywords=laptop&qid=1754578193&sprefix=laptop%2Caps%2C348&sr=8-20&xpid=pSgy7HC4v6kp5
18,"Dell Inspiron 3530 Laptop, 13th Gen Intel Core i5-1334U Processor, 16GB, 512GB SSD, 15.6""(39.62cm) FHD 120Hz 250 nits, Backlit KB, Windows 11 + MSO'24 & 15 Month McAfee, Silver, Thin & Light- 1.62kg","51,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxNzAxMDYxMTg2NjIyOToxNzU0NTc4MTk0OnNwX2J0ZjozMDA2NDUzNTMwNzk3MzI6OjA6Og&url=%2FDell-Inspiron-i5-1334U-Processor-39-62cm%2Fdp%2FB0D2Y1BLDT%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2QJUXBH5B3J1V%26dib%3DeyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1754578193%26sprefix%3Dlaptop%252Caps%252C348%26sr%3D8-21-spons%26xpid%3DpSgy7HC4v6kp5%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&sp_cr=DUB
19,"HP OmniBook 5 OLED (Previously Pavilion), QC Snapdragon X (16GB LPDDR5x, 512GB SSD) 2K, 14''/35.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.35kg, he0014QU, Ultra Light-Weight, Next-Gen AI Laptop","64,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxNzAxMDYxMTg2NjIyOToxNzU0NTc4MTk0OnNwX2J0ZjozMDA2NDcyMjk4MTk5MzI6OjA6Og&url=%2FHP-OmniBook-Previously-Snapdragon-Light-Weight%2Fdp%2FB0F8P4Y7VF%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2QJUXBH5B3J1V%26dib%3DeyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1754578193%26sprefix%3Dlaptop%252Caps%252C348%26sr%3D8-22-spons%26xpid%3DpSgy7HC4v6kp5%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&sp_cr=DUB
